Speaker,Adressee,Most Likely Sentiment,Total Mentions,Avg Positive Probability,Avg Neutral Probability,Avg Negative Probability,Number of Positive Mentions,Number of Neutral Mentions,Number of Negative Mentions
South Africa,Ukraine,neutral,2,0.17,0.79,0.04,0,2,0
Spain,Ukraine,negative,6,0.15,0.46,0.39,1,2,3
Sri Lanka,Ukraine,negative,1,0.01,0.16,0.83,0,0,1
Suriname,Ukraine,negative,1,0.02,0.27,0.71,0,0,1
Sweden,Ukraine,negative,11,0.15,0.35,0.5,2,3,6
Switzerland,Ukraine,negative,1,0.01,0.12,0.87,0,0,1
Timor-Leste,Ukraine,negative,2,0.01,0.15,0.85,0,0,2
Trinidad and Tobago,Ukraine,negative,1,0.01,0.17,0.82,0,0,1
Tunisia,Ukraine,positive,1,0.56,0.41,0.03,1,0,0
Turkey,Ukraine,neutral,1,0.42,0.55,0.03,0,1,0
Tuvalu,Ukraine,neutral,1,0.06,0.58,0.37,0,1,0
United Kingdom,Ukraine,neutral,3,0.06,0.68,0.26,0,3,0
United States,Ukraine,negative,9,0.26,0.32,0.42,3,2,4
Uruguay,Ukraine,neutral,1,0.21,0.66,0.13,0,1,0
Vanuatu,Ukraine,neutral,2,0.05,0.73,0.22,0,2,0
Vatican City,Ukraine,negative,4,0.21,0.23,0.56,1,0,3
Venezuela,Ukraine,neutral,1,0.49,0.5,0.01,0,1,0
Zambia,Ukraine,negative,1,0.01,0.14,0.85,0,0,1
